description,edibility_binary
"Encoelia furfuracea Spring Hazel Cup (Roth) P.Karst. Orange-brown cups with a pale creamy warty outer surface up to 15mm across opening to form irregular cups, often bunched together in clusters. Asci eight spored 90-100x6� asco spores smooth, cylindrical 9-11x2�. Found in mid winter through to spring, on Hazel and Alder. Europe and North America. Inedible. Photographs sent to me from Poland by Miroslaw Wantoch-Rekowski, many thanks.",poisonous
"Endoptychum agaricoides Czerniaiev New syn. Chlorophyllum agaricoides Cap 1-7cm across, 2-10cm high, oval to rounded and generally wider at the base; white becoming dingy to tan; smooth with minute hairs, sometimes becoming scaly. Spore mass like contorted gills, chambered; whitish becoming pale brown in maturity; sometimes slightly powdery. Stem barely exposed, extending up into gleba, attached by a cord to the ground; whitish becoming yellowish. Spores ellipsoid, smooth, brownish, 6.5-8 x 5.5-7�. Habitat scattered, in groups, or even in dense clusters on lawns, flower beds, pastures, and cultivated or wasteland. Sometimes abundant. Found widely distributed throughout North America. Season May-October. Edibility not known.",poisonous
"Entoloma abortivum (Berk. & Curt.) Donk Aborted Entoloma. Fruit body in two forms, one of which is parasitized. The parasitized form is described last. Normal form-Cap 4-10cm across, convex with unrolled edge and central umbo; gray to gray-brown; smooth, dry, innately fibrillose. Gills sinuate, crowded; pale gray, becoming pink with mature spores. Stem 30-100 x 5-15mm, slightly clavate, often not central to cap; white to gray, base with white coating of mycelium. Flesh white. Odor mealy, cucumber-like. Taste similar. Spores ellipsoid, angular, 6 sided, 8-10 x 4.5-6�. Deposit salmon pink. Aborted form-An irregular lumpy white ball often in large numbers along with the typical form; when cut open a spongy context lined with pink veins and patches is revealed. Size from 2-10cm. Habitat Common. Found widely in eastern North America west to Texas. Season August-October. Edible with caution, I would avoid trying it.",poisonous
"Entoloma alboumbonatum Hesler Cap 1-3.5cm across, broadly cone- or bell-shaped with a distinct umbo and an incurved margin; dull pinky-buff to pale pinky-cinnamon with a grayish tinge, the umbo whitish; hygrophanous, shining with silky hairs in radial lines. Gills narrowly adnate-ascending, close, medium broad; pale whitish to pale pinky-cinnamon. Stem 50-80 x 1-3mm, firm, tough, hollow, slightly enlarged at the base; grayish brown, paler toward the top, whitish mycelium at the base; dry, smooth but minutely hairy toward the top, splits easily lengthwise. Taste faintly mealy. Spores generally 4-sided, 8.5-10 x 7-8.5�. Deposit pinkish. Pleurocystidia and cheilocystidia present. No caulocystidia. Habitat growing on the ground or in humus under deciduous trees and hemlock. Found in eastern North America. Season June-August. Not edible.",poisonous
"Entoloma aprile (Britz.) Sacc. syn. Rhodophyllus aprilis (Britz.) Romagn. Fruher Rotling Entelome d'avril Cap 3�6cm across, convex with a distinct umbo, dark brown when moist, drying paler grey-brown. Stem 30�70�5�10mm, whitish to pale grey-brown, striate. Flesh whitish-grey, firm, becoming hollow in stem. Taste and smell mealy. Gills whitish-grey, finally tinged pink. Spore print salmon pink. Spores angularly subglobose, 9�12�7.5�10m. Habitat amongst bushes and deciduous trees. Season spring. Uncommon. Edibility suspect �avoid. Found In Europe.",poisonous
"Entoloma cetratum (Fr.) Moser Cap 2-4cm domed to bell-shaped with a nipple, transparently striate, yellowish-brown darker when wet. Stem 4-8x2.5mm. same colour as the cap. Gills, whitish at first then ochraceous-pink. Almost no smell. Spores 11-12.5x6.5-7.5 �. Print dull pink. Found in woods especially under spruce. Not edible, USA and Europe. Photographs sent to me from Poland by Miroslaw Wantoch-Rekowski, many thanks.",poisonous
"Entoloma euchroum (Pers.) Donk syn. Leptonia euchroa (Pers. Ex Fr.) Kummer Blaulicher Zartling Ibolyasz�n� d�ggomba. Cap 1�4cm across, bell-shaped, beautifully violaceous, sometimes with a slight brownish tint at centre, silky-fibrous. Stem 20�60 x 2�4mm, concolorous with cap. Flesh bluish-pallid. Taste and smell not distinctive. Gills rich violaceous with a darker edge. Spore print pink. Spores angular, 9�11 x 5�7.5um. Habitat on branches, stumps or fallen trunks of alder, hazel, beech or birch. Season late summer to autumn. Uncommon. Said to be edible, better to avoid all Entelomas. (Never eat any mushroom until you are certain it is edible as many are poisonous and some are deadly poisonous.) Found In Europe.",poisonous
"Entoloma griseum (Pk.) Hesler Cap 4-5cm across, convex with a small umbo, becoming flatter, sometimes with a depression, and somewhat upturned in age, umber or grayish, fawn brown; hygrophanous with a lined margin when wet and minutely scaly all over. Gills adnexed, crowded, medium broad; grayish white to nut brown. Stem 60-100 x 3-4mm, hollow, fragile, slightly tapering upward; silky white with dingy brown tinges. Flesh thin; dark. Odor mild. Taste mealy. Spores angular spheroid, generally 5-6 sided, 9-12 x 7-9�. Deposit cinnamon. No pleurocystidia or cheilocystidia. Habitat on soil and sphagnum in very damp woods. Found in northeastern North America, south to Tennessee. Season August-September. Not edible.",poisonous
"Entoloma incanum (Fr.) Hesl. syn. Leptonia incana (Fr.) Gillet syn. Rhodophyllus incanus (Fr.) K�hn. & Romagn. Braungruner Zartling. Cap 1�3cm across, convex, often becoming centrally depressed, expanding to almost flat, yellow-brown to olive-brown, darker brown at the centre, striate at the margin. Stem 20�40 x 1�3mm, yellowish green, bruising blue-green, base covered in white down. Flesh thin, greenish. Strong smell of mice. Gills greenish-white at first becoming pale flesh-colour. Spore print pink. Spores angularly oblong, 11�14 x 8�9um. Habitat grassland and heaths, especially on chalk. Season late summer to late autumn. Uncommon. Poisonous. Found In Europe.",poisonous
"Entoloma lazulinum (Pers. Ex Fr.) Hesl. syn. Leptonia lazulina (Fr.) Qu�l. syn. Rhodophyllus lazulinus (Fr.) Qu�l. New syn. Entoloma chalybeum var. lazulinum Schwarzblauer Zartling. Cap 1�2cm across, convex, blackish-blue, almost black at disc, covered in darker radiating fibres, margin striate. Stem 30�40 x 1�2mm, dark blue to blue-black or violet-blue. Flesh thin, dark blue. Smell strongly mushroomy. Gills at first deep bright blue or blue-grey becoming more pink with age. Spore print pink. Spores angularly oblong, 10�12 x 6.5�8um. Habitat grassland and heaths. Season autumn. Occasional � more common in the North and West. Poisonous. Found In Europe.The collection illustrated shows caps which are more conical than those found typically.",poisonous
"Entoloma murraii (Berk. & Curt.) Sacc. Cap 1-3cm across, conical, bell-shaped with spike like nipple at center; yellow to yellow-orange; silky, smooth. Gills adnate, distant, broad; pale yellow, then pinkish as spores mature. Stem 50-100 x 1.5-5mm; dry, yellow. Flesh thin: pale yellow. Odor pleasant. Taste pleasant. Spores 4-sided, smooth, 9-12 x 8-10�. Deposit salmon pink. Habitat in damp woods and swamps. Frequent. Found from Maine to Alabama and west to the Great Lakes. Season July-October. Edibility uncertain -avoid possibly poisonous.",poisonous
"Stinkender Rotling Entoloma nidorosum (Fr.) Qu�l New syn. Entoloma rhodopolium Cap 3�7cm across, convex then expanded and slightly umbonate or depressed, pale grey becoming paler with age, margin often wavy. Stem 50�100�3�15mm, white to whitish. Flesh white, watery. Smell strongly nitrous when first collected but soon fading. Gills whitish-pallid at first becoming flesh-pink. Spore print pink. Spores subglobose, angular, 7�9�6�8m. Habitat damp deciduous woods. Season late summer to late autumn. Occasional. Not edible suspect. Distribution, America and Europe.",poisonous
"Entoloma rhodopolium (Fr.) Kummer syn. Rhodophyllus rhodopolius (Fr.) Quel Niedriger Rotling, Entelome rose-gris, Wood Pinkgill. Cap 3�7cm across, convex with a slight umbo then expanded and often depressed, grey-brown to yellowish buff drying silky greyish. Stem 40�80 x 5�10mm, white to silky greyish. Flesh thin, white. Taste and smell slightly mealy. Gills whitish then flesh-pink. Spore print pink. Spores angularly subglobose, 8�10.5 x 7�8um. Habitat in deciduous woods. Season summer to autumn. Frequent. Poisonous � causes gastric upsets. Distribution, America and Europe. The field photograph was taken by Buck McAdoo, it should be treated as E. rhodopolium ss. lato.",poisonous
"Entoloma saundersii (Fr.) Sacc. syn. Rhodophyllus saundersii (Fr.) Romagn.Silbergrauer Marzrotling Entelome de Saunders. Cap 3�12cm across, bell-shaped becoming expanded-convex with a distinct umbo, pallid, ivory or yellowish-buff to pale grey-brown. Stem 20�50 x 10�24mm, white. Flesh white, firm. Taste mealy, smell mealy or slightly rancid. Gills dirty white becoming pale pink. Spore print pink. Spores obscurely angularly subglobose, 9�12 x 8�10um. Habitat under trees and bushes belonging to the Rosaceae. Season late spring to summer. Uncommon. Said to be edible though best avoided due to possible confusion with poisonous species. Found In Europe.",poisonous
"Enteloma serrulatum (Pers. Ex Fr.) Hesl. syn. Leptonia serrulata (Pers. ex Fr.) Kummer syn. Rhodophyllus serrulatus (Pers. ex Fr.) Qu�l. Gesagter Zartling. Cap 1�3cm across, convex then expanded and finally depressed, blue-black becoming brownish with age, margin often slightly striate. Stem 15�20 x 1�2mm, blue-grey to blackish, typically with black dots at apex, base covered in white down. Flesh thin, bluish-white. Gills blue-grey with a blackish edge. Cystidia club-shaped with blue sap. Spore print pink. Spores angular-elliptic, 10�12 x 6�8um. Habitat grassland. Season summer to autumn. Occasional � more frequent in the North and West. Poisonous. Found In Europe.",poisonous
"Entoloma strictipes (Pk.) Hesler Cap 1-4cm across, broadly cone-shaped becoming flatter, with an umbo; nut brown or darker; margin has short lines which then extend to the center, surface seal,. Gills adnate becoming sinuate, close, quite broad; whitish to fleshy pink. Stem 60-105 x 2-3mm, hollow, slightly tapering upward; whitish to pale dingy brown, with white mycelium on the base: smooth. Flesh thin, fragile; pale brown. Odor none. Taste slightly sweet. Spores generally 5-6 sided, 9-14.5 x 7-9�. Deposit cinnamon pink. No pleurocystidia. Habitat on sphagnum moss. Frequent. Found in eastern North America from New York to West Virginia. Season July-August. Not edible -suspect.",poisonous
"Entoloma vernum Lundell. Cap 2.5-4(6)cm bell-shaped finally flat, with a boss or nipple, olivaceous-umber when wet, drying paler. Stem3-8x3-6mm. Often twisted fibrous, paler than the cap. Gills distant deep, pale grey to reddish as spores mature. No smell. Spores 9-10x7-8 �. Print dull pink. Found in moss or grass at wood edges, in spring! Not edible, USA and Europe. Photographs sent to me from Poland by Miroslaw Wantoch-Rekowski, many thanks.",poisonous
"Exidia cartilaginea Lund. & Neuh. Fungus gelatinous, pink blobs on wood ,it can be over 20cm across. Spores cylindrical 10-13x3.5-5 �. Found on broad-leaved trees especially birch. Found mainly northern in Europe not recorded from America. Not edible. Photographs sent to me from Poland by Miroslaw Wantoch-Rekowski, many thanks.",poisonous
"Exidia glandulosa Fr. Black Jelly Roll, Witches� Butter, Warziger Dr�sling, Hexenbutter, Exidie glanduleuse, Kormos mirigygomba, Boszork�nyvaj. Fruit body 2�6cm across, gelatinous, pendulous, disc-shaped at first and bearing tiny scattered warts, often becoming fused with adjacent fruit bodies, upper surface felty, black. Spores white, sausage-shaped, 10�16 x 4�5�. Basidia resembling hot cross buns when viewed from above. Habitat on dead wood of deciduous trees; sometimes on dead parts of living trees. Season all year. Frequent. Not edible. Distribution, America and Europe.",poisonous
"Exidia pithya Tar Spot Fungus A. &S.:Fr. Fungus a moist gelatinous knob-like extrusion, when old it forms a dark blackish- grey tar-like crust. Spores cylindrical 12-15x4.5-5.5 �. Found on spruce twigs and branches lying on the ground throughout the year. Found in Europe not recorded from America. Not edible. Photographs sent to me from Poland by Miroslaw Wantoch-Rekowski, many thanks.",poisonous
"Exidia recisa (Ditmar ex S.F.Gray) Fr. Fungus a gelatinous, elastic mass on wood , brown, to darker red-brown, undulating to wrinkled, underside dry, when old it forms a brownish crust. There is a short stem attachment. Spores cylindrical 14-15x3-3.5 �. Found on willow and poplar and sometimes Prunus, usually near water. Found in Europe and America. Not edible. Photographs sent to me from Poland by Miroslaw Wantoch-Rekowski, many thanks.",poisonous
"Exidia thuretiana (Lev.) Fr. White Brain Fungus. The fruit bodies are opalescent white blobs sometimes fusing together to form a longer strip, the colour may have a hint of blue or pink, normally about 2 cm long but can be up to 10cm, It is marked with indentations looking like rivers on a map, as it dries it forms a transparent membranous film. Spores cylindrical 13-18x5.5-7. Found on fallen twigs of Beech and sometimes Ash , it can be found at any time but more common in late autumn through to early spring. Found in Europe and Africa not recorded for North America. Not edible. Many thanks to Miroslaw Wantoch-Rekowski who sent me the pictures from Poland.",poisonous
"Exobasidium vaccinii (Fuckel) Woron. Cowberry Redleaf. Fruit body forming a whitish of pinkish powdery spore-bearing layer on gall-like, thickened, distorted leaves and shoots of members of the Ericaceae. Spores white, elongate, 10�20 x 2.5�5�, becoming 3-septate at maturity. Habitat leaves and young shoots or flowers of certain members of the Ericaceae; rhododendron, pot-grown azaleas, etc. (shown here on Vaccinium). Season late spring to autumn. Uncommon. Not edible. Found In Europe and probably north America.",poisonous
Faerberia carbonaria (Alb.&Schwein.) Pouzar. Szenes r�kagomba Firesite Funnel Cap funnel shaped brown 3-6cm. Gills decurrent very noticeably forked. Stem greyish to light brown. Found on fire sites or burnt ground. I am wondering if this fungus can be synonymised with Geopetalum carbonarium (Alb. & Schw. Ex Fr.) Pat. ss. Moser ? . Many thanks to Miroslaw Wantoch-Rekowski for the photographs.,poisonous
"Fistulina hepatica Schaeff. ex Fr. Beefsteak Fungus or Ox Tongue Langue de boeuf, Fistuline h�patique Bracket 8-25cm across, 2-6cm thick, usually single, tongue-shaped or semicircular; upper surface pinkish to orange-red and finally purple-brown; rough with rudimentary pores, especially toward the margin; moist to tacky. Tubes up to 15mm deep; arising free, but adhering in maturity; whitish or yellowish. Pores 3 per mm, circular; whitish at first, bruising reddish brown. Stem none or rudimentary; short, thick, blood red. Flesh thick, succulent; mottled, dark flesh-pink with lighter veining, with bloodlike sap; reminiscent of raw meat. Odor pleasant. Taste sourish. Spores ovoid, smooth, 4.5-6 x 3-4�. Deposit pinkish salmon. Habitat singly or sometimes several in a cluster on the base of living oaks or chestnuts, also dead hardwood stumps. Frequent; common in the East. Common in Europe and found in North America especially eastern areas. Season July-October. Edible-good. Comment Infected oak timber has a much richer, darker color and is much sought after by furniture makers.",edible
"Flammulina velutipes (Curt. ex Fr.) Karst. syn. Collybia velutipes (Curt. ex Fr.) Kummer Samtfussrubling, Collybie a pied veloute, Velvet Shank, Enoki, Enokitake. Cap 2-10cm across, convex at first then flattened, tan-yellow darkening towards the centre, smooth and slimy. Stem 30-10 x 4-8mm, tough and cartilaginous, yellowish at apex, dark brown and densely velvety below. Flesh thin, concolorous. Taste and smell pleasant. Gills pale yellow. Cheilo- and pleurocystidia present. Cap cuticle 'cellular' of irregular clavate elements with elongated narrow processes and conspicuous, fusiform, somewhat thick-walled dermatocystidia. Spore print white. Spores elliptic, 6.5-10 x 3-4mu. Habitat in clusters on decaying deciduous trees, especially elm. Season late autumn to spring; can survive being frozen solid and on thawing produces more spores. Common. Edible and good. (Never eat any mushroom until you are certain it is edible as many are poisonous and some are deadly poisonous.) Distribution, America and Europe. This mushroom is often sold in a cultivated form as Enokitake, the reason that it does not resemble the wild form is that it is grown entirely in the dark.",edible
"Flavoscypha cantharella (Fr.) Harmaja syn. Otidea cantharella (Fr.) Sacc. Gelber Ohrling. Cup 1�5cm tall, elongate ear-shaped, inner and outer surface bright sulphur-yellow, base whitish. Flesh thin, white. Asci 150 x 10�, not blued by iodine. Paraphyses slender, curved at the tip. Spores elliptical containing two oil drops, 10�12 x 5�6�. Habitat in soil roadsides and parks in mixed woods. Season late summer to autumn. Uncommon. Not edible. Distribution, America and Europe.",poisonous
"Flocculina granulosa (Lange) Orton syn. Naucoria granulosa LangeKorniger Flockling. Cap 5�15mm across, convex, ochre- to reddish-brown, drying buff, granular-floccose to minutely papillate-scaly. Stem 10�20� x 1�2mm, apex ochre, more brown below, fibrillose-tomentose and floccose-scaly. Flesh concolorous. Gills ochre-brown. Cheilocystidia cylindric flexuose. Spore print rusty-brown. Spores almond-shaped, 8�9.5 x 4.5�5um. Habitat mixed woods. Season autumn. Occasional. Not edible. Found In Europe.",poisonous
"Fomes fomentarius (L. ex Fr.) KickxEchter Zunderschwamm Amadouvier, Hoof Fungus or Tinder Bracket. Bracket 5�45cm across, 3�25cm wide, 2�25cm thick, hoof-shaped, hard and woody, usually discrete but several fruit bodies may occur on the same trunk; upper surface with a hard horny crust, concentrically grooved and zoned grey. Flesh hard, fibrous, cinnamon-brown. Taste acrid, smell slightly fruity. Tubes 2�7mm long in each layer, rusty-brown. Pores 2�3 per mm, circular, light grey-brown darkening when handled. Spores brownish, lemon-yellow, oblong-ellipsoid, 15�20 x 5�7um. Hyphal structure trimitic; generative hyphae with clamp-connections. Habitat usually on birch in Scotland and Northern England, but also on beech. The few record from Southern England are mostly on beech and sycamore. Season sporulating in spring to early summer, perennial. Uncommon. Not edible. Distribution, America and Europe.",poisonous
"Fomitopsis cajanderi (Karsten) Kotlaba & Pouz. Fruit body perennial; no stem. Bracket up to 20cm across, 10cm wide, 7cm thick, flat to convex, with a sharp margin; light pinky-beige becoming darker pinkish brown or gray to blackish; finely felty becoming hairy or smooth. Tubes 1-3mm deep per season; pale pinky-brown; layers stratified, up to 2cm thick. Pores 4-5 per mm, circular to angular; surface rose colored. Flesh up to lcm thick, corky; rosy pink to light pinkish brown. Spores cylindrical, curved, smooth, 5-7 x 1.5-2�. Deposit whitish. Hyphal structure dimitic; clamps present. Habitat singly or overlapping on dead conifer wood; rarely on hardwoods. Found throughout North America. Season all year. Edibility not known -inedible.",poisonous
"Fomitopsis pinicola (Swartz ex Fr.) Karsten. Fichtenporling Unguline marginee. Fruit body perennial; no stem. Up to 38cm across, 20cm wide, 15cm thick, convex to hoof-shaped, with a thickened, rounded margin; upper surface with a sticky reddish-brown resinous crust, then grayish to brown or black; hard, woody, smooth or glossy-looking. Tubes up to 6mm deep per season; cream to buff. Pores 5-6 per mm, circular; surface cream-colored. Flesh up to 12cm thick, corky, hard, woody; cream to buff, sometimes zoned. Spores cylindrical ellipsoid, smooth, 6-9 x 3.5-4.5�. Deposit whitish. Hyphal structure trimitic; clamps present. Habitat on dead conifer stumps and logs and occasionally on living trees. Found throughout Europe and most of North America except the South from Texas eastward. Season all year. Not edible. Comment The most commonly collected polypore in North America. The cap colors are rather variable.",poisonous
"Fuscoboletinus aeruginascens (Seer.) Pomerleau & Smith syn. Suillus aeruginascens (Seer.) Snell Cap 3-12cm across, round becoming convex then almost flat; smoky gray to wood brown, becoming paler, yellowish or almost whitish, in age with dingy spots; slimy when moist, finely hairy to somewhat scaly, sometimes cracking when dry. Tubes 6-9mm deep, adnate or subdecurrent; white or pale brown at first, becoming brownish gray to smoke gray, bruising bluish green. Pores round, becoming irregular and angular; same color as tubes. Stem 40-60 x 8-12mm, solid, tapering slightly upward; whitish above the ring, smoke gray or brownish gray below; somewhat sticky with netlike ridges. Veil cottony, grayish to yellowish; leaving a flattened ring. Flesh firm at first, then soft; whitish to yellowish, turning bluish green where bruised or handled. Odor not distinctive. Taste mild, fruity. Spores ellipsoid to subfusiform, smooth, 8-12 x 3.5-5�. Deposit pinkish brown. Habitat scattered or in groups under larch. Common. Found widely distributed in northern North America. Season July-October. Edible - good.",edible
"Galerina marginata (Fr.) Kuehn. Cap 1.5-4cmconvex then flat margin striate, pale ochre to yellow brown. Gills thin and crowded. Stem with scales ochre-honey distinctly darker below. Smell and taste floury. Spores almond shaped 8-10.5 ( 14)x5-6(7.25). Found on conifer wood. These photographs have been sent to me by Miroslaw Wantoch-Rekowski, many thanks.",poisonous
"Galerina mniophila (Lasch) Kuhn. syn. Galera mniophila (Lasch) Gillet Moos-Haubling. Cap 1�1.5cm across, bell-shaped, dirty yellowish-brown and distinctly striate when moist, drying pallid clay. Stem 40�80 x 2mm, whitish at apex in young specimens, pale yellowish-brown below. Flesh concolorous. Smell mealy. Gills pale ochraceous then dingy yellowish-brown. Cheilocystidia thin-walled, hyaline, with swollen base and long obtuse neck. Spore print ochre. Spores almond-shaped, faintly ornamented, 9.5�13 x 5.5�7um. Habitat amongst moss in damp woods. Season autumn. Occasional. Not edible -suspect. Found In Europe.",poisonous
"Galerina mycenopsis (Fr. ex Fr.) Kuhn. syn. Galera mycenopsis (Fr. ex Fr.) Qu�l. Glockiger Haubling. Cap 0.5�2cm across, hemispherical then broadly bell-shaped, bright ochre-brown and distinctly striate when moist drying pale yellow. Stem 30�60 x 1�2mm, ochraceous with white silky fibres when young. Flesh yellowish. Taste and smell not distinctive. Gills yellowish, paler than cap. Spore print ochraceous. Spores elliptic, smooth 9�13 x 5�6.5um. Habitat amongst moss. Season late summer to late autumn. Rare. Not edible -suspect. Found In Europe.",poisonous
"Galerina pallidispora Smith Cap 1-2.5cm across, flatly cone-shaped expanding to bell-shaped; russet becoming dingy yellowish tawny, fading to pale yellow or buff; smooth, moist, hygrophanous. Gills bluntly adnate, close, moderately broad; ochraceous tawny. Stem 30-40 x 2-3mm, sometimes slightly enlarged downward; same color as cap; covered with a bloom above, smooth below, with mycelium around the base. Spores narrowly ovoid, smooth or minutely dotted, 9-13 x 5-6.5�; pale in 3 percent KOH. Deposit ochre. No pleurocystidia; cheilocystidia often curved. Habitat scattered on hardwood logs, especially alder. Found in the Pacific Northwest. Season May-June. Not edible -suspect.",poisonous
"Galerina paludosa (Fr.) Kuehn. Cap ochre brown to reddish-ochre, 1-3cm finely granular, conical to convex. Gills adnate. Stem when young fibrous and flaky, with a distinct ring.4-12x1.5-3mm. Spore print rusty-yellowish brown, spores 9.5-11x6-7umfinely warty. Growing on sphagnum moss. These photographs have been sent to me by Miroslaw Wantoch-Rekowski, many thanks.",poisonous
"Galerina phillipsii sp. nov Sumpf-Haubling. Cap 8�18mm across, conico-convex then expanded and acutely umbonate, hygrophanous, dark olive-brown when moist drying rusty-brown and striate. Stem 20�40�2�3mm, concolorous with cap except for the paler apex. Flesh concolorous with cap and stem. Smell not distinctive. Gills olive-brown to rust. Cheilocystidia thin-walled, subcylindric to bottle-shaped, 30�50 x 5�8m, sometimes swollen to 10m at the base. Spore print brown. Spores almond-shaped, ornamented, 9�12 x 4.5�5(6)um. Habitat amongst moss on marshy firesite. Season late spring. Rare. Not edible -suspect. Found In Europe.Latin description by Reid in Bulletin of the British Mycological Society Vol. 15, II.",poisonous
"Geastrum coronatum Pers. syn. Geastrum limbatum Fr. Hals-Erdstern G�astre couronn�. Fruit body opening to 5�10cm across, outer wall splitting into 5�8 pointed rays which curve downward and become irregularly cracked. Spore sac on a short thick stalk, subglobose, grey-brown, opening by a central pore. Spores dark brown, globose, warted, 3.5-4.5um in diameter. Habitat on soil in coniferous and deciduous woods. Season autumn. Rare. Not edible. Distribution, America and Europe.",poisonous
"Geastrum floriforme Vitt. Fruit body 2-2.5cm across when expanded; round spore case with an outer wall consisting of pointed lobes that are bent inward when dry and expanded when wet. Spore sac covered in soil and debris at first, then smooth and pale brownish; indistinct mouth opening. Spore mass brown at maturity. Spores globose, warty, 2.5-3.5 x 2.5-3.5�. Thick-walled capillitial threads approximately 10� in diameter. Habitat singly or in small groups on sandy soil. Found widely distributed in North America. Season July-October. Not edible.",poisonous
"Geastrum fornicatum (Huds.) Fr. Nest-Erdstern, Cs�sz�s csillaggomba, G�astre en vo�te, Arched Earthstar. Fruit body 1-2.5cm across; comprises a brownish central globose spore sac with a fringed apical pore, borne on a short stem, and carried clear of the surrounding leaf litter on 4 tall, narrow, downward-pointing rays standing on the tips of 4 similar but shorter, broader, upward-pointing rays which form a mycelial mat or cuplike structure at the base of the fungus. Spore mass firm; white becoming blackish brown and powdery. Spores globose, warted, dark brown, 3.5-4.5 x 3.5-4.5�. Habitat scattered or in dense groups in leaf litter, humus, or organic debris in woods, near stables, or on rubbish or waste ground. Found in Europe and quite common in the Southwest of north America but rare elsewhere. Found widely distributed in North America. Season October-March. Not edible.",poisonous
"Geastrum nanum Pers. Zwerg-Erdstern G�astre nain. Fruit body opening to 2�3cm across, splitting into 5�8 pointed rays covered in a fleshy layer which cracks and flakes off. Spore sac on a short stalk, pallid to greyish, opening by a central pore surmounting a sharply pointed, brown beak-like mouth. Spores dark brown, globose, warted, 3.5�4um in diameter. Habitat in rich soil in deciduous woods. Season autumn. Rare. Not edible. Distribution, America and Europe.",poisonous
"Geastrum pectinatum Pers. Kamm-Erdstern. Fruit body opening to 3�6cm across, outer wall splitting into 6�12 pointed brown rays which become irregularly cracked. Spore sac on a slender stalk 5�6mm long, lead-grey, opening by a central pore surmounting a conical, furrowed mouth. Spores dark brown, globose and warted, 4�7um in diameter. Habitat on soil in coniferous, more rarely deciduous, woods. Season autumn. Rare. Not edible. Distribution, America and Europe.",poisonous
"Geastrum quadrifidum Pers. ex Pers. Kleiner Nesterdstern Koron�s (f�szkes) csillaggomba G�astre � quatre branches, Rayed Earthstar. Fruit body opening to 0.5�3cm across, outer wall splitting into 4�8 pointed rays which bend strongly downwards, the tips adhering to a basal membranous cup in the substrate as in G. fornicatum. Spore sac on a short stalk 1.5�2.5mm long which forms a ridge-like collar below the lead-grey spore sac, opening by a central pore surmounting a pallid, conical mouth. Spores brown, globose, warted, 3.5�5um. Habitat in coniferous woods. Season autumn. Rare. Not edible. Distribution, America and Europe.",poisonous
"Geastrum saccatum Fr. Fruit body a round, bulblike sac whose outer wall splits, unfolds, and bends back into 4-8 star-like rays. Spore sac 0.5-2cm across, round to flattened with a disc-like depression or mouth area set off from the rest of the spore sac by a distinct ring or shallow groove; buff, dull gray, or brownish, paler at the mouth area; smooth. Spore mass firm; white becoming brownish and powdery. Rays 2-4cm long; upper surface pallid to tan or ochre-brown, undersurface buff to pale tan; rubbery when fresh, sometimes cracking. Spores globose, warty, 3.5-4.5 x 3.5-4.5�. Habitat singly or in groups around decaying stumps or in leaf litter in hardwood forests or under juniper and conifers. Quite common. Found widely distributed in North America and Europe. Season July-October, but often persisting for months. Not edible.",poisonous
"Geastrum sessile (Sow.) Pouz. syn. G. fimbriatum Fr. syn. G. rufescens Pers. ex Kits Gewimperter Erdstern G�astre frang�, Sessile Earthstar. Fruit body opening to 2�3cm across, globose at first, splitting into 5�8 pointed rays, pale cream with flesh tinge. Spore sac 8�15mm across, sessile, pale cream to buff, opening by a central pore surmounting a slightly raised mouth, not delineated from the spore sac. Spores dark brown, globose, minutely warted, 2.9�3.5um in diameter. Habitat on rich humus under deciduous trees. Season autumn. Uncommon. Not edible. Found In Europe.",poisonous
"Geastrum striatum DC. Not often recorded but known since 1805. Beaked Earth Star. Fungus dull cream colour, 1.5-3cm across, with 6-8 spreading (star-like)segments . The fungus has a rather tall distinct stem with a prominent collar below the spore bearing head. Spores brown 4.5-6.2. Found in broad leaved woods, possibly in conifers also. These photographs have been sent to me by Miroslaw Wantoch-Rekowski, many thanks.",poisonous
"Geastrum triplex Jung. Kragen-Erdstern, G�astre � trois couches, Collard Earthstar. Fruit body 3�5cm across when unopened and bulb-shaped, opening to 5�10cm across, outer wall splitting into 4�8 pointed rays and covered in a thick, pinkish-brown, fleshy layer which cracks as the rays bend back under the fruit body leaving the spore sac sitting in a saucer-like base. Spore sac sessile, pale grey-brown with a paler ring round the slightly raised mouth. Spores dark brown, globose, warted, 3.5�4.5um in diameter. Habitat amongst leaf litter in deciduous woods. Season late summer to autumn. Occasional, perhaps the most common member of the genus in Europe. Not edible. Distribution, America and Europe.",poisonous
"Geoglossum cookeianum Nannfeldt Fruit body 3�7cm high, 0.5�1cm wide, black, smooth, flattened club-shaped tapering into the narrower stalk. Asci 180�20�. Paraphyses elongated terminally in a short chain of almost globose to barrel-shaped segments up to 8� wide. Spores brown, subcylindric, seven-septate, 50�90�5�7�. Habitat in grassland especially on sandy soils. Season autumn. Occasional. Not edible. Found In Europe.",poisonous
"Geoglossum difforme (Fr.) Durand Fruit body 3-12cm high, club-shaped, strongly compressed; black; smooth, sticky, particularly on the tapering stem. Asci up to 240 x 275�. Spores club-shaped to cylindrical, smooth, 6-7 x 95-125�. Habitat growing singly or in groups on soil, humus, rotting wood, or among pine needles. Found in eastern North America and Europe. Season July-September. Not edible.",poisonous
